,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_MADE_FLAG
0,Restricted Area,Center(C),3,15,28,0
1,Above the Break 3,Center(C),24,5,247,1
2,Right Corner 3,Right Side(R),23,231,-16,0
3,Restricted Area,Center(C),1,13,-1,1
4,Restricted Area,Center(C),0,6,4,0
5,In The Paint (Non-RA),Center(C),4,-39,13,1
6,Restricted Area,Center(C),1,-8,12,0
7,Restricted Area,Center(C),3,-2,34,0
8,Restricted Area,Center(C),2,13,16,1
9,Restricted Area,Center(C),1,-6,10,1
10,Above the Break 3,Center(C),25,6,255,0
11,Left Corner 3,Left Side(L),22,-225,-13,0
12,Restricted Area,Center(C),2,-18,11,1
13,Above the Break 3,Left Side Center(LC),27,-185,206,0
14,Restricted Area,Center(C),0,0,-6,1
15,Left Corner 3,Left Side(L),23,-230,60,1
16,Restricted Area,Center(C),0,4,-3,1
17,Above the Break 3,Left Side Center(LC),25,-142,207,0
18,Restricted Area,Center(C),0,0,-6,0
19,Restricted Area,Center(C),0,-2,4,1
20,Restricted Area,Center(C),0,-1,0,1
21,Restricted Area,Center(C),0,2,-1,1
22,Above the Break 3,Left Side Center(LC),26,-217,147,0
23,Left Corner 3,Left Side(L),23,-231,-32,1
24,Restricted Area,Center(C),0,8,5,1
25,Right Corner 3,Right Side(R),23,236,9,1
26,Left Corner 3,Left Side(L),22,-226,16,1
27,Above the Break 3,Right Side Center(RC),25,177,177,0
28,Above the Break 3,Left Side Center(LC),24,-83,230,1
29,Restricted Area,Center(C),1,14,0,0
30,Above the Break 3,Center(C),25,-30,253,1
31,Restricted Area,Center(C),0,-8,0,1
32,In The Paint (Non-RA),Center(C),7,-12,79,0
33,Above the Break 3,Left Side Center(LC),26,-117,234,0
34,Restricted Area,Center(C),0,0,9,1
35,Restricted Area,Center(C),3,34,10,0
36,Restricted Area,Center(C),2,0,20,0
37,Restricted Area,Center(C),0,-5,-4,1
38,Right Corner 3,Right Side(R),23,236,17,0
39,Restricted Area,Center(C),0,5,5,1
40,Restricted Area,Center(C),0,-6,2,1
41,Restricted Area,Center(C),2,27,-1,1
42,Restricted Area,Center(C),0,-1,1,1
43,Right Corner 3,Right Side(R),22,227,2,1
44,Left Corner 3,Left Side(L),23,-239,1,0
45,Restricted Area,Center(C),1,11,0,0
46,Mid-Range,Left Side(L),11,-111,37,0
47,Restricted Area,Center(C),1,-9,11,0
48,Restricted Area,Center(C),0,0,-7,1
49,Above the Break 3,Left Side Center(LC),26,-197,184,0
50,Right Corner 3,Right Side(R),24,239,36,1
51,Left Corner 3,Left Side(L),22,-228,25,1
52,Right Corner 3,Right Side(R),24,240,29,0
53,Mid-Range,Center(C),15,-64,141,1
54,Left Corner 3,Left Side(L),24,-236,68,0
55,Restricted Area,Center(C),0,-2,-5,1
56,Restricted Area,Center(C),1,18,5,1
57,Above the Break 3,Right Side Center(RC),25,203,148,1
58,Restricted Area,Center(C),1,19,5,1
59,Restricted Area,Center(C),0,2,5,1
60,Above the Break 3,Left Side Center(LC),25,-172,187,1
61,Restricted Area,Center(C),3,30,20,0
62,Restricted Area,Center(C),1,-8,13,0
63,Right Corner 3,Right Side(R),23,236,35,1
64,Above the Break 3,Right Side Center(RC),24,223,106,1
65,Above the Break 3,Center(C),24,-37,245,1
66,Restricted Area,Center(C),1,16,6,1
67,Above the Break 3,Right Side Center(RC),25,93,234,0
68,Restricted Area,Center(C),1,16,7,0
69,Restricted Area,Center(C),1,-1,15,1
70,Restricted Area,Center(C),3,6,36,0
71,Left Corner 3,Left Side(L),23,-235,6,0
72,Right Corner 3,Right Side(R),22,228,27,1
73,Restricted Area,Center(C),2,-22,10,0
74,Above the Break 3,Left Side Center(LC),25,-186,173,1
75,Right Corner 3,Right Side(R),23,231,62,1
76,Restricted Area,Center(C),1,-1,18,0
77,Right Corner 3,Right Side(R),23,232,31,0
78,Restricted Area,Center(C),1,5,13,1
79,Above the Break 3,Left Side Center(LC),25,-101,239,0
80,Right Corner 3,Right Side(R),23,229,37,1
81,Restricted Area,Center(C),3,24,29,0
82,Restricted Area,Center(C),2,-24,14,0
83,Restricted Area,Center(C),2,19,21,0
84,Right Corner 3,Right Side(R),24,232,83,0
85,Left Corner 3,Left Side(L),22,-229,10,0
86,Restricted Area,Center(C),1,6,10,1
87,Right Corner 3,Right Side(R),23,232,-21,1
88,Right Corner 3,Right Side(R),23,228,42,1
89,Mid-Range,Center(C),15,-13,157,1
90,Above the Break 3,Left Side Center(LC),27,-160,222,0
91,Restricted Area,Center(C),2,-27,8,1
92,Right Corner 3,Right Side(R),23,231,6,0
93,Restricted Area,Center(C),1,-12,-3,1
94,Restricted Area,Center(C),0,6,5,1
95,Restricted Area,Center(C),1,0,10,1
96,Above the Break 3,Center(C),24,-48,243,1
97,Above the Break 3,Left Side Center(LC),26,-140,226,1
98,Left Corner 3,Left Side(L),23,-237,14,1
99,Above the Break 3,Center(C),28,22,288,0
100,Right Corner 3,Right Side(R),23,234,37,1
101,Restricted Area,Center(C),1,-2,15,1
102,Right Corner 3,Right Side(R),22,228,29,0
103,Restricted Area,Center(C),2,-18,10,1
104,Restricted Area,Center(C),1,13,8,0
105,Restricted Area,Center(C),1,9,6,1
106,Left Corner 3,Left Side(L),22,-221,-2,0
107,Above the Break 3,Left Side Center(LC),24,-116,220,1
108,In The Paint (Non-RA),Center(C),7,-37,61,0
109,Restricted Area,Center(C),2,17,15,0
110,Left Corner 3,Left Side(L),23,-231,34,0
111,Restricted Area,Center(C),1,1,14,0
112,Restricted Area,Center(C),0,-3,9,1
113,Restricted Area,Center(C),2,-16,13,0
114,Restricted Area,Center(C),2,8,27,0
115,Above the Break 3,Left Side Center(LC),24,-172,181,0
116,Restricted Area,Center(C),1,-8,8,1
117,Restricted Area,Center(C),1,2,16,1
118,In The Paint (Non-RA),Center(C),5,40,31,0
119,Restricted Area,Center(C),1,-4,14,1
120,Right Corner 3,Right Side(R),24,246,6,0
121,Right Corner 3,Right Side(R),23,235,31,0
122,Restricted Area,Center(C),3,3,31,1
123,Above the Break 3,Left Side Center(LC),26,-187,183,1
124,Restricted Area,Center(C),0,-2,2,1
125,Left Corner 3,Left Side(L),24,-232,85,1
126,Above the Break 3,Center(C),25,58,249,0
127,Restricted Area,Center(C),2,-28,-4,0
128,Restricted Area,Center(C),0,0,-6,1
129,Left Corner 3,Left Side(L),23,-231,-15,1
130,Restricted Area,Center(C),3,-6,39,0
131,Mid-Range,Left Side Center(LC),20,-78,186,0
132,Right Corner 3,Right Side(R),24,227,84,0
133,Above the Break 3,Right Side Center(RC),24,223,91,0
134,Left Corner 3,Left Side(L),22,-225,-17,1
135,Restricted Area,Center(C),3,29,17,1
136,Restricted Area,Center(C),2,23,19,0
137,Right Corner 3,Right Side(R),23,232,-7,1
138,Restricted Area,Center(C),3,33,19,0
139,Restricted Area,Center(C),2,4,21,1
140,Restricted Area,Center(C),3,2,39,0
141,Above the Break 3,Right Side Center(RC),26,203,169,0
142,Above the Break 3,Right Side Center(RC),25,190,168,0
143,Above the Break 3,Left Side Center(LC),26,-113,240,0
144,In The Paint (Non-RA),Center(C),14,-67,125,0
145,Restricted Area,Center(C),2,22,13,1
146,Restricted Area,Center(C),1,-13,-4,1
147,Above the Break 3,Left Side Center(LC),26,-119,241,0
